,ame,Long,Lat,Ele,Time,geometry,X,Y
422,10002325,32.6936032,-117.2272476,-35.013,17:25:52,POINT (478698.3807313455 3617343.266210598),478698.3807,3617343.266
423,10002326,32.69359695,-117.227245,-35.058,17:25:53,POINT (478698.6229677185 3617342.572844982),478698.623,3617342.573
424,10002327,32.69358991,-117.2272455,-35.095,17:25:54,POINT (478698.57442935713 3617341.792525632),478698.5744,3617341.793
425,10002328,32.69358377,-117.227243,-35.005,17:25:55,POINT (478698.80731807585 3617341.1113741347),478698.8073,3617341.111
426,10002329,32.69357739,-117.2272448,-35.148,17:25:56,POINT (478698.63707696984 3617340.404479865),478698.6371,3617340.404
427,10002330,32.69357129,-117.2272484,-35.015,17:25:57,POINT (478698.29817401024 3617339.728986041),478698.2982,3617339.729
428,10002331,32.69356481,-117.2272479,-35.093,17:25:58,POINT (478698.3435063177 3617339.010544959),478698.3435,3617339.011
429,10002332,32.69355937,-117.2272527,-35.132,17:25:59,POINT (478697.8922743093 3617338.4084561765),478697.8923,3617338.408
430,10002333,32.69355443,-117.2272525,-34.991,17:26:00,POINT (478697.90985041385 3617337.86079206),478697.9099,3617337.861
431,10002334,32.6935483,-117.2272542,-35.1,17:26:02,POINT (478697.74904226523 3617337.181591514),478697.749,3617337.182
432,10002335,32.69354289,-117.2272563,-35.038,17:26:02,POINT (478697.5509096671 3617336.5822868473),478697.5509,3617336.582
433,10002336,32.69353691,-117.2272575,-35.106,17:26:03,POINT (478697.4370060157 3617335.9196142782),478697.437,3617335.92
434,10002337,32.69353091,-117.2272616,-35.084,17:26:04,POINT (478697.05125756917 3617335.255306297),478697.0513,3617335.255
435,10002338,32.69352476,-117.227262,-35.081,17:26:05,POINT (478697.0123039148 3617334.5736279073),478697.0123,3617334.574
436,10002339,32.69351855,-117.2272649,-35.106,17:26:06,POINT (478696.738991136 3617333.885799676),478696.739,3617333.886
437,10002340,32.69351255,-117.2272647,-35.073,17:26:07,POINT (478696.75631580147 3617333.220629197),478696.7563,3617333.221
438,10002341,32.69350649,-117.2272672,-35.172,17:26:08,POINT (478696.5205337297 3617332.5493489974),478696.5205,3617332.549
439,10002342,32.69350091,-117.2272676,-35.018,17:26:09,POINT (478696.48171520844 3617331.930857998),478696.4817,3617331.931
440,10002343,32.69349465,-117.2272676,-35.171,17:26:10,POINT (478696.4802306104 3617331.236905322),478696.4802,3617331.237
441,10002344,32.69348834,-117.227272,-35.221,17:26:11,POINT (478696.06628700404 3617330.5382924895),478696.0663,3617330.538
442,10002345,32.69348245,-117.2272708,-35.074,17:26:12,POINT (478696.17737571825 3617329.885115478),478696.1774,3617329.885
443,10002346,32.6934762,-117.2272734,-35.19,17:26:13,POINT (478695.93217466795 3617329.1927928925),478695.9322,3617329.193
444,10002347,32.69347059,-117.2272717,-34.966,17:26:14,POINT (478696.0901987994 3617328.5705550015),478696.0902,3617328.571
445,10002348,32.69346342,-117.2272721,-35.171,17:26:15,POINT (478696.0510031545 3617327.7758044624),478696.051,3617327.776
446,10002349,32.69345682,-117.2272733,-35.037,17:26:16,POINT (478695.9369522671 3617327.0444017807),478695.937,3617327.044
447,10002350,32.6934504,-117.2272747,-35.149,17:26:17,POINT (478695.8041964446 3617326.332993131),478695.8042,3617326.333
448,10002351,32.69344456,-117.2272795,-35.155,17:26:18,POINT (478695.3528688452 3617325.6865624473),478695.3529,3617325.687
449,10002352,32.6934392,-117.2272795,-35.061,17:26:19,POINT (478695.3515976224 3617325.0923793297),478695.3516,3617325.092
450,10002353,32.69343283,-117.2272834,-35.18,17:26:20,POINT (478694.9845084803 3617324.387014944),478694.9845,3617324.387
451,10002354,32.69342711,-117.2272872,-35.039,17:26:21,POINT (478694.6269472516 3617323.7536862995),478694.6269,3617323.754
452,10002355,32.69342134,-117.2272884,-35.162,17:26:22,POINT (478694.5130930741 3617323.114293338),478694.5131,3617323.114
453,10002356,32.69341596,-117.2272922,-35.084,17:26:23,POINT (478694.15561241785 3617322.51865543),478694.1556,3617322.519
454,10002357,32.69341088,-117.2272924,-35.126,17:26:24,POINT (478694.1356599189 3617321.9555518553),478694.1357,3617321.956
455,10002358,32.6934046,-117.227295,-35.184,17:26:25,POINT (478693.89045142155 3617321.259903674),478693.8905,3617321.26
456,10002359,32.69339851,-117.2272944,-35.117,17:26:26,POINT (478693.94524981594 3617320.5846760017),478693.9452,3617320.585
457,10002360,32.69339293,-117.2272979,-35.134,17:26:27,POINT (478693.615843024 3617319.966806921),478693.6158,3617319.967
458,10002361,32.69338687,-117.2272987,-35.137,17:26:28,POINT (478693.53941519244 3617319.29518576),478693.5394,3617319.295
459,10002362,32.69338104,-117.2273024,-35.154,17:26:29,POINT (478693.1912014128 3617318.649643052),478693.1912,3617318.65
460,10002363,32.69337567,-117.2273007,-35.086,17:26:30,POINT (478693.3492824717 3617318.054010342),478693.3493,3617318.054
461,10002364,32.69336993,-117.2273043,-35.179,17:26:31,POINT (478693.01046379755 3617317.418424536),478693.0105,3617317.418
462,10002365,32.69336475,-117.2273035,-35.014,17:26:32,POINT (478693.0842256276 3617316.8440348394),478693.0842,3617316.844
463,10002366,32.69335786,-117.2273043,-35.276,17:26:33,POINT (478693.00760086667 3617316.0804039887),478693.0076,3617316.08
464,10002367,32.69335263,-117.2273027,-34.948,17:26:34,POINT (478693.1563413516 3617315.500311045),478693.1563,3617315.5
465,10002368,32.69334579,-117.2273015,-35.112,17:26:35,POINT (478693.26720472326 3617314.741821711),478693.2672,3617314.742
466,10002369,32.69333975,-117.227304,-35.044,17:26:36,POINT (478693.0314267281 3617314.072758711),478693.0314,3617314.073
467,10002370,32.69333489,-117.2273003,-35.074,17:26:37,POINT (478693.37710512086 3617313.533260846),478693.3771,3617313.533
468,10002371,32.6933284,-117.2273051,-35.184,17:26:38,POINT (478692.92562261457 3617312.8147744928),478692.9256,3617312.815
469,10002372,32.69332292,-117.2273046,-35.071,17:26:39,POINT (478692.971191868 3617312.2071884694),478692.9712,3617312.207
470,10002373,32.69331695,-117.2273079,-35.197,17:26:40,POINT (478692.6604398666 3617311.546045831),478692.6604,3617311.546
471,10002374,32.69331108,-117.2273102,-35.152,17:26:41,POINT (478692.4434497181 3617310.8957880815),478692.4434,3617310.896
472,10002375,32.69330552,-117.2273106,-35.197,17:26:42,POINT (478692.40463561774 3617310.279514215),478692.4046,3617310.28
473,10002376,32.69329998,-117.2273145,-35.124,17:26:43,POINT (478692.0377426042 3617309.666159646),478692.0377,3617309.666
474,10002377,32.69329553,-117.2273076,-35.116,17:26:44,POINT (478692.68348055705 3617309.171470328),478692.6835,3617309.171
475,10002378,32.69329044,-117.22731,-35.237,17:26:45,POINT (478692.45730155654 3617308.6076995865),478692.4573,3617308.608
476,10002379,32.69328501,-117.2273075,-34.983,17:26:46,POINT (478692.69035906694 3617308.0052550705),478692.6904,3617308.005
477,10002380,32.69327894,-117.2273072,-35.165,17:26:47,POINT (478692.71704074496 3617307.3323046924),478692.717,3617307.332
478,10002381,32.69327426,-117.2273099,-35.083,17:26:48,POINT (478692.4628374949 3617306.8140447116),478692.4628,3617306.814
479,10002382,32.69326836,-117.2273112,-35.173,17:26:49,POINT (478692.3395783325 3617306.1602606936),478692.3396,3617306.16
480,10002383,32.69326243,-117.2273136,-35.089,17:26:50,POINT (478692.1131999957 3617305.503371715),478692.1132,3617305.503
481,10002384,32.69325759,-117.2273121,-35.177,17:26:51,POINT (478692.25265927706 3617304.9665323044),478692.2527,3617304.967
482,10002385,32.693252,-117.2273146,-35.175,17:26:52,POINT (478692.016987734 3617304.3473541094),478692.017,3617304.347
483,10002386,32.69324722,-117.2273136,-35.093,17:26:53,POINT (478692.10959214077 3617303.817266315),478692.1096,3617303.817
484,10002387,32.69324291,-117.2273125,-35.13,17:26:54,POINT (478692.21168186516 3617303.339260336),478692.2117,3617303.339
485,10002388,32.69323831,-117.2273129,-35.139,17:26:55,POINT (478692.1730954383 3617302.8294073306),478692.1731,3617302.829
486,10002389,32.69323565,-117.2273088,-35.109,17:26:56,POINT (478692.5567913144 3617302.533710318),478692.5568,3617302.534
487,10002390,32.69323168,-117.2273091,-35.22,17:26:57,POINT (478692.5277281629 3617302.093675936),478692.5277,3617302.094
488,10002391,32.69322615,-117.2273078,-34.966,17:26:58,POINT (478692.6482761974 3617301.480386669),478692.6483,3617301.48
489,10002392,32.69321881,-117.2273079,-35.239,17:26:59,POINT (478692.6371613487 3617300.666730625),478692.6372,3617300.667
490,10002393,32.6932133,-117.2273064,-35.019,17:27:00,POINT (478692.7764618067 3617300.055618338),478692.7765,3617300.056
491,10002394,32.69320721,-117.2273096,-35.242,17:27:01,POINT (478692.47505478846 3617299.381153045),478692.4751,3617299.381
492,10002395,32.69320182,-117.2273115,-35.107,17:27:02,POINT (478692.2956735413 3617298.7840254866),478692.2957,3617298.784
493,10002396,32.69319581,-117.2273138,-35.145,17:27:03,POINT (478692.0786498905 3617298.118248048),478692.0786,3617298.118
494,10002397,32.69318975,-117.227318,-35.218,17:27:04,POINT (478691.68351158116 3617297.447309061),478691.6835,3617297.447
495,10002398,32.69318446,-117.2273171,-35.123,17:27:05,POINT (478691.766621232 3617296.8607052527),478691.7666,3617296.861
496,10002399,32.6931779,-117.2273189,-35.209,17:27:06,POINT (478691.5963361953 3617296.133857232),478691.5963,3617296.134
497,10002400,32.69317188,-117.2273176,-35.098,17:27:07,POINT (478691.71676801756 3617295.466248982),478691.7168,3617295.466
498,10002401,32.69316483,-117.2273174,-35.15,17:27:08,POINT (478691.73384337686 3617294.684680723),478691.7338,3617294.685
499,10002402,32.69315925,-117.2273155,-35.109,17:27:09,POINT (478691.9106225984 3617294.065728323),478691.9106,3617294.066
500,10002403,32.69315279,-117.2273153,-35.102,17:27:10,POINT (478691.9278379259 3617293.3495645477),478691.9278,3617293.35
501,10002404,32.69314621,-117.2273127,-35.136,17:27:11,POINT (478692.16999682295 3617292.61961666),478692.17,3617292.62
502,10002405,32.69313993,-117.2273126,-35.158,17:27:12,POINT (478692.1778810319 3617291.923426859),478692.1779,3617291.923
503,10002406,32.69313388,-117.2273125,-35.168,17:27:13,POINT (478692.18581980135 3617291.25273372),478692.1858,3617291.253
504,10002407,32.69312682,-117.2273118,-35.204,17:27:14,POINT (478692.24976202054 3617290.469956605),478692.2498,3617290.47
505,10002408,32.69312001,-117.2273118,-35.161,17:27:15,POINT (478692.24814668694 3617289.715033688),478692.2481,3617289.715
506,10002409,32.69311357,-117.2273129,-35.169,17:27:16,POINT (478692.1435069003 3617289.0013478342),478692.1435,3617289.001
507,10002410,32.69310717,-117.2273145,-35.18,17:27:17,POINT (478691.99200739106 3617288.2921964955),478691.992,3617288.292
508,10002411,32.69310053,-117.2273148,-35.152,17:27:18,POINT (478691.9623108478 3617287.5561791314),478691.9623,3617287.556
509,10002412,32.6930939,-117.2273136,-35.199,17:27:19,POINT (478692.07322427083 3617286.8209693767),478692.0732,3617286.821
510,10002413,32.69308824,-117.2273129,-35.155,17:27:20,POINT (478692.13749859424 3617286.1933893375),478692.1375,3617286.193
511,10002414,32.69308202,-117.2273103,-35.116,17:27:21,POINT (478692.37974307605 3617285.5033492823),478692.3797,3617285.503
512,10002415,32.69307511,-117.2273075,-35.17,17:27:22,POINT (478692.64057161426 3617284.736779125),478692.6406,3617284.737
513,10002416,32.6930688,-117.2273067,-35.163,17:27:23,POINT (478692.7140656494 3617284.0371232443),478692.7141,3617284.037
514,10002417,32.69306218,-117.2273062,-35.165,17:27:24,POINT (478692.75936463923 3617283.3031624877),478692.7594,3617283.303
515,10002418,32.69305525,-117.2273053,-35.147,17:27:25,POINT (478692.8420854819 3617282.5347564155),478692.8421,3617282.535
516,10002419,32.69304868,-117.2273067,-35.207,17:27:26,POINT (478692.7092932988 3617281.80671959),478692.7093,3617281.807
517,10002420,32.69304174,-117.2273086,-35.271,17:27:27,POINT (478692.5295441042 3617281.0377667113),478692.5295,3617281.038
518,10002421,32.69303499,-117.2273101,-35.145,17:27:28,POINT (478692.387335337 3617280.2897960437),478692.3873,3617280.29
519,10002422,32.6930283,-117.2273094,-35.236,17:27:29,POINT (478692.45136541117 3617279.5480353106),478692.4514,3617279.548
520,10002423,32.69302289,-117.2273085,-35.151,17:27:30,POINT (478692.53444680135 3617278.9481289196),478692.5344,3617278.948
521,10002424,32.69301673,-117.2273075,-35.201,17:27:31,POINT (478692.62672415865 3617278.265061178),478692.6267,3617278.265
522,10002425,32.69301081,-117.2273053,-35.098,17:27:32,POINT (478692.8315446327 3617277.6083579087),478692.8315,3617277.608
523,10002426,32.6930041,-117.2273041,-35.243,17:27:33,POINT (478692.9424392629 3617276.86427977),478692.9424,3617276.864
524,10002427,32.6929982,-117.2273024,-35.112,17:27:34,POINT (478693.10039528535 3617276.209893917),478693.1004,3617276.21
