X,Y,Linear Conductivity,Log Conductivity,Linear Resistivity,Log Resistivity,Depth
478685.439872874,3617270.14186121,1391.7853419022913,3.1435722582514862,0.7185016035829207,-0.14357225825148612,-0.25
478685.413741901,3617270.70697257,1371.7104015472398,3.1372624318622853,0.7290168528809259,-0.1372624318622851,-0.25
478685.222945508,3617271.34634018,1488.7606641097548,3.1728248853875147,0.6716996385701642,-0.17282488538751467,-0.25
478685.354874699,3617272.03582565,1485.7209066215703,3.1719372346614123,0.6730739236038166,-0.17193723466141236,-0.25
478685.259615214,3617272.54196204,1603.0083562028055,3.204935786261387,0.6238270662348839,-0.20493578626138706,-0.25
478685.162292473,3617272.93570765,1649.477088634679,3.217346287539055,0.6062527372403393,-0.217346287539055,-0.25
478684.951226329,3617273.59390252,1689.6697237808462,3.2278018222721063,0.5918316378199495,-0.22780182227210646,-0.25
478684.646164065,3617276.32160242,1569.8214494097958,3.195850258813197,0.6370151206533513,-0.19585025881319704,-0.25
478684.485580397,3617276.84296737,1404.625164712204,3.1475604447991556,0.7119337066731904,-0.14756044479915548,-0.25
478684.632043027,3617277.38830948,1446.8142704123725,3.160412783702233,0.6911737190116178,-0.1604127837022331,-0.25
478684.429416793,3617277.97504606,1492.704253487393,3.173973770349597,0.6699250689905304,-0.17397377034959724,-0.25
478684.400521175,3617278.70829428,1548.2196938377174,3.1898325875171545,0.6459031647641725,-0.18983258751715468,-0.25
478684.313732507,3617279.40071148,1579.729849791103,3.1985828244377696,0.633019626825584,-0.19858282443776948,-0.25
478684.119028608,3617280.0391637,1655.610687542969,3.2189582212597414,0.6040067314883448,-0.21895822125974138,-0.25
478684.167473861,3617280.65369247,1677.871023142301,3.224758573840468,0.5959933667173114,-0.22475857384046802,-0.25
478683.893802938,3617281.25936502,1730.7552169063026,3.2382356493519153,0.5777824560237259,-0.23823564935191538,-0.25
478683.841504418,3617281.88581091,1699.1960908755834,3.2302435002764245,0.5885135949699056,-0.23024350027642443,-0.25
478683.740573297,3617282.66170801,1686.9075287015603,3.2270912764982262,0.5928007214300098,-0.22709127649822605,-0.25
478683.533732988,3617282.98270822,1677.839795894054,3.2247504910095386,0.5960044590950591,-0.2247504910095386,-0.25
478683.541395468,3617283.52126507,1595.52763529777,3.202904330781731,0.6267519144620595,-0.2029043307817309,-0.25
478683.301552897,3617284.11670346,1676.4989077990715,3.2244032748319484,0.5964811520890356,-0.22440327483194833,-0.25
478683.273304082,3617284.66549897,1661.3822182369352,3.2204695579030806,0.6019084525060125,-0.22046955790308082,-0.25
478683.531304151,3617285.37565387,1599.7555926002049,3.204053637097833,0.6250954862265077,-0.20405363709783325,-0.25
478683.39673012,3617286.00504733,1646.3637181386712,3.21652578672728,0.6073991967768638,-0.21652578672728015,-0.25
478683.690274944,3617286.6553873,1541.6905937744552,3.1879972226777085,0.6486385815922654,-0.18799722267770838,-0.25
478683.552518284,3617287.37932272,1590.0119435444624,3.2014003865820695,0.6289260933290822,-0.20140038658206968,-0.25
478683.574233596,3617288.0357875,1590.97726787865,3.201663974426347,0.6285444928659244,-0.20166397442634687,-0.25
478683.336798532,3617288.66109014,1677.0695133337265,3.224551064175308,0.5962782055540271,-0.2245510641753081,-0.25
478683.180693734,3617289.32840536,1773.585150071755,3.2488520438474713,0.5638297095346916,-0.24885204384747112,-0.25
478683.232391494,3617290.002666,1719.4795654126751,3.2353970189592833,0.5815713196684602,-0.2353970189592834,-0.25
478683.074382956,3617290.63210964,1841.383021112466,3.2651441343236876,0.543070066647977,-0.2651441343236877,-0.25
478683.153478435,3617291.21146852,1793.8587098058656,3.2537882335976414,0.5574575046148543,-0.25378823359764147,-0.25
478683.258175284,3617291.82987997,1737.2731266273363,3.2398681017299804,0.5756147290100291,-0.23986810172998055,-0.25
478683.172092837,3617292.36555824,1778.6805948425194,3.2500979669981813,0.5622144880309653,-0.25009796699818115,-0.25
478683.407877003,3617293.03696127,1678.197867693302,3.224843164943932,0.5958772914987128,-0.22484316494393206,-0.25
478683.319677209,3617293.5566316,1644.198133757916,3.2159541509247807,0.6081992063294942,-0.21595415092478046,-0.25
478683.407266461,3617294.08978248,1643.2452213710278,3.215702378006894,0.6085518990072939,-0.21570237800689418,-0.25
478683.484498321,3617294.77168676,1623.559096507273,3.2104681012896474,0.6159307672577352,-0.21046810128964746,-0.25
