x,y,Linear Conductivity,Linear Resistivity,Depth,DOI,DOI Flag
448585.9219,4177579.78,315.7460206,3.167102465,-0.15,-3.105183753,0
448586.0034,4177579.997,314.3220062,3.181450806,-0.15,-3.105183753,0
448586.0945,4177580.19,313.0906159,3.193963502,-0.15,-3.400915539,0
448586.0962,4177580.606,308.3959795,3.242584425,-0.15,-3.400915539,0
448586.0451,4177581.162,302.7996827,3.302513368,-0.15,-3.400915539,0
448585.9486,4177581.792,295.6462292,3.382420952,-0.15,-3.400915539,0
448585.7979,4177582.496,287.5446507,3.477720756,-0.15,-3.400915539,0
448585.6281,4177583.252,279.2583336,3.580913727,-0.15,-3.400915539,0
448585.456,4177584.049,271.0228912,3.689725231,-0.15,-3.400915539,0
448585.3053,4177584.889,261.9197041,3.817963995,-0.15,-3.400915539,0
448585.1937,4177585.789,252.214315,3.964882009,-0.15,-3.400915539,0
448585.0982,4177586.722,242.8919775,4.117056522,-0.15,-3.400915539,0
448584.995,4177587.68,232.7731708,4.296027745,-0.15,-3.400915539,0
448584.9749,4177588.415,226.4715084,4.415566474,-0.15,-3.400915539,0
448584.9937,4177589.035,221.787587,4.508818612,-0.15,-3.400915539,0
448585.0526,4177589.577,218.0287859,4.58655033,-0.15,-3.400915539,0
448585.1552,4177590.068,214.9236815,4.652814399,-0.15,-3.400915539,0
448585.2858,4177590.515,212.7351129,4.700681456,-0.15,-3.400915539,0
448585.4355,4177590.932,211.5662452,4.726651925,-0.15,-3.400915539,0
448585.6009,4177591.312,210.703446,4.74600686,-0.15,-3.400915539,0
448585.7688,4177591.68,210.3445351,4.75410497,-0.15,-3.400915539,0
448585.928,4177592.057,209.2856356,4.778158794,-0.15,-3.400915539,0
448586.1066,4177592.45,209.1526698,4.781196439,-0.15,-3.400915539,0
448586.2853,4177592.847,208.9351087,4.78617503,-0.15,-3.400915539,0
448586.4553,4177593.258,209.8202643,4.765983892,-0.15,-3.696647325,0
448586.6024,4177593.686,209.5390913,4.772379195,-0.15,-3.696647325,0
448586.7124,4177594.077,208.7842661,4.789632948,-0.15,-3.696647325,0
448586.7842,4177594.441,206.0446468,4.853317062,-0.15,-3.696647325,0
448586.8307,4177594.824,200.875805,4.978200335,-0.15,-3.696647325,0
448586.8676,4177595.235,195.0637759,5.126528467,-0.15,-3.696647325,0
448586.9028,4177595.652,189.4376271,5.278782337,-0.15,-3.696647325,0
448586.9554,4177596.027,182.7947688,5.470616072,-0.15,-3.696647325,0
448587.0042,4177596.374,175.2681215,5.705544118,-0.15,-3.696647325,0
448587.052,4177596.687,166.7732892,5.996164044,-0.15,-3.696647325,0
448586.9974,4177596.977,155.7929834,6.418774315,-0.15,-3.696647325,0
448586.9217,4177597.271,145.8026723,6.858584853,-0.15,-3.696647325,0
448586.855,4177597.599,135.5144878,7.379284799,-0.15,-3.696647325,0
448586.8151,4177597.981,126.3302647,7.915759555,-0.15,-3.696647325,0
448586.7847,4177598.326,118.5314701,8.436578058,-0.15,-3.696647325,0
448586.7706,4177598.747,111.2686106,8.987260596,-0.15,-3.696647325,0
448586.7347,4177599.21,103.4600133,9.665569995,-0.15,-3.696647325,0
448586.7353,4177599.727,97.11058512,10.29753861,-0.15,-3.992379111,0
448586.7546,4177600.289,91.91451863,10.87967402,-0.15,-3.992379111,0
448586.8077,4177600.881,88.77978226,11.26382578,-0.15,-3.992379111,0
448587.0237,4177601.477,87.4108049,11.44023329,-0.15,-3.992379111,0
448587.3066,4177602.059,85.31103338,11.72181323,-0.15,-3.992379111,0
448587.6098,4177602.634,83.41734067,11.98791513,-0.15,-3.992379111,0
448587.8785,4177603.197,82.08024941,12.18319885,-0.15,-3.992379111,0
448588.1157,4177603.802,80.83953503,12.37018495,-0.15,-3.992379111,0
448588.2792,4177604.305,79.86695592,12.52082277,-0.15,-3.992379111,0
448588.3931,4177604.759,79.14379048,12.63523005,-0.15,-3.992379111,0
448588.4469,4177605.201,77.92424505,12.83297643,-0.15,-3.992379111,0
448588.4523,4177605.638,76.3359595,13.09998599,-0.15,-3.992379111,0
448588.4111,4177606.096,73.77485562,13.55475374,-0.15,-3.992379111,0
448588.3157,4177606.618,70.50251501,14.18389117,-0.15,-3.992379111,0
448588.1802,4177607.217,67.07132972,14.90950014,-0.15,-3.992379111,0
448588.0354,4177607.869,63.29354886,15.79939849,-0.15,-3.992379111,0
448587.9171,4177608.535,59.2519412,16.87708419,-0.15,-3.992379111,0
448587.8594,4177609.183,55.45217364,18.03355819,-0.15,-3.992379111,0
448587.8758,4177609.836,51.81805633,19.29829235,-0.15,-3.992379111,0
448587.9626,4177610.477,48.19804929,20.74772765,-0.15,-3.992379111,0
448588.0512,4177611.112,44.86548014,22.28885096,-0.15,-4.288110897,0
448588.1731,4177611.733,41.51949092,24.08507373,-0.15,-4.288110897,0
448588.2781,4177612.325,38.56150279,25.93259929,-0.15,-4.288110897,0
448588.3846,4177612.867,35.87381998,27.87548136,-0.15,-4.288110897,0
448588.5077,4177613.39,33.86703461,29.52723826,-0.15,-4.288110897,0
448588.6272,4177613.905,32.46856025,30.79902503,-0.15,-4.288110897,0
448588.7354,4177614.445,31.44958105,31.79692596,-0.15,-4.288110897,0
448588.8182,4177615.004,30.20134841,33.1111044,-0.15,-4.288110897,0
448588.8411,4177615.571,28.77981972,34.74656928,-0.15,-4.288110897,0
448588.6743,4177616.367,27.69469368,36.10800002,-0.15,-4.583842683,0
448588.6145,4177617.1,26.82609224,37.27714014,-0.15,-4.583842683,0
448588.5998,4177617.845,25.89683863,38.61475195,-0.15,-4.583842683,0
448588.6547,4177618.592,24.93583748,40.10292418,-0.15,-4.583842683,0
448588.7808,4177619.33,24.19904767,41.32394024,-0.15,-4.583842683,0
448588.91,4177619.982,23.63474006,42.31059861,-0.15,-4.583842683,0
448589.0256,4177620.57,23.12121884,43.25031509,-0.15,-4.583842683,0
448589.138,4177621.086,22.55441036,44.33722647,-0.15,-4.583842683,0
448589.2502,4177621.555,22.12839585,45.19080401,-0.15,-4.583842683,0
448589.3923,4177622.01,21.8420792,45.78318717,-0.15,-4.583842683,0
448589.7649,4177622.29,21.33882949,46.86292659,-0.15,-4.583842683,0
448590.0631,4177622.626,20.68561011,48.34278489,-0.15,-4.583842683,0
448590.3021,4177622.948,20.20971904,49.48114312,-0.15,-4.583842683,0
448590.4849,4177623.294,19.95879919,50.10321465,-0.15,-4.583842683,0
448590.5805,4177623.661,19.76395456,50.59716147,-0.15,-4.583842683,0
448590.6484,4177624.089,19.56392003,51.11450049,-0.15,-4.583842683,0
448590.6946,4177624.576,19.33551168,51.71831068,-0.15,-4.583842683,0
448590.7006,4177625.119,19.13426435,52.26226532,-0.15,-4.583842683,0
448590.6612,4177625.721,18.89302908,52.92957503,-0.15,-4.583842683,0
448590.5983,4177626.365,18.59035103,53.79134576,-0.15,-4.583842683,0
448590.4639,4177626.994,18.40488883,54.33338984,-0.15,-4.583842683,0
448590.2881,4177627.629,18.33234983,54.54838084,-0.15,-4.583842683,0
448590.1135,4177628.307,18.18160932,55.00063182,-0.15,-4.583842683,0
448589.9409,4177629.034,17.88843695,55.90203341,-0.15,-4.879574469,0
448589.781,4177629.815,17.49103086,57.17215916,-0.15,-4.879574469,0
448589.6284,4177630.625,16.96291673,58.95212574,-0.15,-4.879574469,0
