HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP4.0,PRP4.1
12.6,4.5,9.6,6.8,11.1,8.3
12.6,4.5,9.6,6.8,11.1,8.3
12.6,4.5,9.6,6.8,11.1,8.3
12.6,4.5,9.6,6.8,11.1,8.3
12.6,4.5,9.6,6.8,11.1,8.3
12.6,4.5,9.6,6.8,11.1,8.3
12.6,4.5,9.6,6.8,11.1,8.3
12.6,4.5,9.6,6.8,11.1,8.3
12.6,4.5,9.6,6.8,11.1,8.3
12.6,4.5,9.6,6.8,11.1,8.3
14.3,4.9,11.4,7.2,14.2,10.3
14.3,4.9,11.4,7.2,14.2,10.3
15.6,4.8,11.1,7.7,14.1,10.9
15.6,4.8,11.1,7.7,14.1,10.9
15.6,4.8,11.1,7.7,14.1,10.9
15.6,4.8,11.1,7.7,14.1,10.9
15.6,4.8,11.1,7.7,14.1,10.9
15.6,4.8,11.1,7.7,14.1,10.9
15.6,4.8,11.1,7.7,14.1,10.9
15.6,4.8,11.1,7.7,14.1,10.9
15.6,4.8,11.1,7.7,14.1,10.9
15.6,4.8,11.1,7.7,14.1,10.9
15.6,4.8,11.1,7.7,14.1,10.9
15.6,4.8,11.1,7.7,14.1,10.9
15.6,4.8,11.1,7.7,14.1,10.9
15.6,4.8,11.1,7.7,14.1,10.9
15.8,4.8,11.2,7.8,14.1,10.9
16.0,4.7,11.4,7.8,14.0,11.0
16.0,4.7,11.4,7.8,14.0,11.0
16.5,4.6,11.3,7.8,14.2,11.1
16.8,4.4,11.3,7.7,14.3,11.2
16.8,4.4,11.3,7.7,14.3,11.2
16.8,4.4,11.3,7.7,14.3,11.2
16.8,4.4,11.3,7.7,14.3,11.2
16.8,4.4,11.3,7.7,14.3,11.2
16.8,4.4,11.3,7.7,14.3,11.2
16.8,4.4,11.3,7.7,14.3,11.2
16.8,4.4,11.3,7.7,14.3,11.2
16.8,4.4,11.3,7.7,14.3,11.2
16.8,4.4,11.3,7.7,14.3,11.2
16.8,4.4,11.3,7.7,14.3,11.2
16.8,4.4,11.3,7.7,14.3,11.2
16.8,4.4,11.3,7.7,14.3,11.2
16.8,4.4,11.3,7.7,14.3,11.2
16.8,4.4,11.3,7.7,14.3,11.2
16.8,4.4,11.3,7.7,14.3,11.2
16.8,4.4,11.3,7.7,14.3,11.2
15.5,5.2,11.5,7.9,14.5,10.9
15.5,5.2,11.5,7.9,14.5,10.9
15.5,5.2,11.5,7.9,14.5,10.9
15.5,5.2,11.5,7.9,14.5,10.9
15.5,5.2,11.5,7.9,14.5,10.9
15.5,5.2,11.5,7.9,14.5,10.9
15.5,5.2,11.5,7.9,14.5,10.9
15.5,5.2,11.5,7.9,14.5,10.9
15.5,5.2,11.5,7.9,14.5,10.9
15.5,5.2,11.5,7.9,14.5,10.9
15.5,5.2,11.5,7.9,14.5,10.9
15.5,5.2,11.5,7.9,14.5,10.9
15.5,5.2,11.5,7.9,14.5,10.9
15.5,5.2,11.5,7.9,14.5,10.9
15.5,5.2,11.5,7.9,14.5,10.9
15.4,5.3,11.6,8.0,14.5,10.9
14.8,6.0,11.7,8.4,14.5,10.8
14.8,6.0,11.7,8.4,14.5,10.8
14.8,6.0,11.7,8.4,14.5,10.8
14.8,6.0,11.7,8.4,14.5,10.8
14.8,6.0,11.7,8.4,14.5,10.8
14.8,6.0,11.7,8.4,14.5,10.8
14.8,6.0,11.7,8.4,14.5,10.8
14.8,6.0,11.7,8.4,14.5,10.8
14.8,6.0,11.7,8.4,14.5,10.8
14.8,6.0,11.7,8.4,14.5,10.8
14.8,6.0,11.7,8.4,14.5,10.8
14.8,6.0,11.7,8.4,14.5,10.8
14.8,6.0,11.7,8.4,14.5,10.8
14.8,6.0,11.7,8.4,14.5,10.8
14.8,6.0,11.7,8.4,14.5,10.8
14.8,6.0,11.7,8.4,14.5,10.8
14.8,6.0,11.7,8.4,14.5,10.8
14.8,6.0,11.7,8.4,14.5,10.8
14.8,6.0,11.7,8.4,14.5,10.8
14.8,6.0,11.7,8.4,14.5,10.8
14.8,6.0,11.7,8.4,14.5,10.8
14.8,6.0,11.7,8.4,14.5,10.8
14.8,6.0,11.7,8.4,14.5,10.9
15.0,5.9,11.8,8.3,14.8,11.0
15.0,5.9,11.8,8.3,14.8,11.0
15.0,5.9,11.8,8.3,14.8,11.0
15.0,5.9,11.8,8.3,14.8,11.0
15.0,5.9,11.8,8.3,14.8,11.0
15.0,5.9,11.8,8.4,14.6,11.0
15.0,5.9,11.8,8.4,14.6,11.0
15.0,5.9,11.8,8.4,14.6,11.0
15.0,5.9,11.8,8.4,14.6,11.0
15.0,5.9,11.8,8.4,14.6,11.0
15.0,5.9,11.8,8.4,14.6,11.0
15.0,5.9,11.8,8.4,14.6,11.0
15.0,5.9,11.8,8.4,14.6,11.0
15.0,5.9,11.8,8.4,14.6,11.0
14.9,5.6,11.9,8.1,14.9,11.0
14.9,5.5,11.9,8.0,15.0,11.0
14.9,5.5,11.9,8.0,15.0,11.0
14.9,5.5,11.9,8.0,15.0,11.0
14.9,5.5,11.9,8.0,15.0,11.0
14.9,5.5,11.9,8.0,15.0,11.0
14.9,5.5,11.9,8.0,15.0,11.0
14.9,5.5,11.9,8.0,15.0,11.0
14.9,5.5,11.9,8.0,15.0,11.0
14.9,5.5,11.9,8.0,15.0,11.0
14.9,5.5,11.9,8.0,15.0,11.0
14.7,5.3,11.9,7.9,15.0,11.0
14.7,5.3,11.9,7.9,15.0,11.0
14.7,5.3,11.9,7.9,15.0,11.0
14.7,5.3,11.9,7.9,15.0,11.0
14.7,5.3,11.9,7.9,15.0,11.0
14.7,5.3,11.9,7.9,15.0,11.0
14.7,5.3,11.9,7.9,15.0,11.0
14.7,5.3,11.9,7.9,15.0,11.0
14.7,5.3,11.9,7.9,15.0,11.0
14.7,5.3,11.9,7.9,15.0,11.0
14.7,5.3,11.9,7.9,15.0,11.0
14.7,5.3,11.9,7.9,15.0,11.0
14.7,5.3,11.9,7.9,15.0,11.0
14.7,5.3,11.9,7.9,15.0,11.0
14.7,5.3,11.9,7.9,15.0,11.0
14.7,5.3,11.9,7.9,15.0,11.0
14.7,5.3,11.9,7.9,15.0,11.0
14.7,5.3,11.9,7.9,15.0,11.0
14.7,5.3,11.9,7.9,15.0,11.0
14.9,5.5,12.0,8.1,15.0,11.0
15.0,5.5,12.0,8.1,14.9,11.0
15.0,5.5,12.0,8.1,14.9,11.0
15.0,5.5,12.0,8.1,14.9,11.0
15.0,5.5,12.0,8.1,14.9,11.0
15.0,5.5,12.0,8.1,14.9,11.0
15.0,5.5,12.0,8.1,14.9,11.0
15.0,5.5,12.0,8.1,14.9,11.0
15.0,5.5,12.0,8.1,14.9,11.0
15.0,5.5,12.0,8.1,14.9,11.0
15.1,5.6,12.0,8.2,14.9,11.0
15.1,5.8,11.9,8.3,14.8,10.8
15.1,5.8,11.9,8.3,14.8,10.8
15.1,5.8,11.9,8.3,14.8,10.8
15.1,5.8,11.9,8.3,14.8,10.8
15.1,5.8,11.9,8.3,14.8,10.8
15.1,5.8,11.9,8.3,14.8,10.8
15.1,5.8,11.9,8.3,14.8,10.8
15.1,5.8,11.9,8.3,14.8,10.8
15.1,5.8,11.9,8.3,14.8,10.8
15.1,5.8,11.9,8.3,14.8,10.8
15.1,5.8,11.9,8.3,14.8,10.8
15.1,5.8,11.9,8.3,14.8,10.8
15.1,5.8,11.9,8.3,14.8,10.8
15.1,5.8,11.9,8.3,14.8,10.8
15.2,5.8,11.8,8.3,14.9,10.8
15.3,5.5,11.6,8.0,15.1,10.9
15.3,5.5,11.6,8.0,15.1,10.9
15.3,5.5,11.6,8.0,15.1,10.9
15.3,5.5,11.6,8.0,15.1,10.9
15.3,5.5,11.6,8.0,15.1,10.9
15.3,5.5,11.6,8.0,15.1,10.9
15.3,5.5,11.6,8.0,15.1,10.9
15.3,5.5,11.6,8.0,15.1,10.9
15.3,5.5,11.7,8.0,15.1,10.9
15.2,5.5,11.9,8.0,15.1,10.9
15.2,5.5,11.9,8.0,15.1,10.9
15.2,5.5,11.9,8.0,15.1,10.9
15.2,5.5,11.9,8.0,15.1,10.9
15.2,5.5,11.9,8.0,15.1,10.9
15.2,5.5,11.9,8.0,15.1,10.9
15.2,5.5,11.9,8.0,15.1,10.9
15.2,5.5,11.9,8.0,15.1,10.9
15.2,5.5,11.9,8.0,15.1,10.9
15.2,5.5,11.9,8.0,15.1,10.9
15.2,5.5,11.9,8.0,15.1,10.9
15.2,5.5,11.9,8.0,15.1,10.9
15.2,5.5,11.9,8.0,15.1,10.9
15.2,5.5,11.9,8.0,15.1,10.9
15.2,5.5,11.9,8.0,15.1,10.9
15.7,5.2,11.8,7.9,15.1,11.3
15.7,5.2,11.9,7.9,15.1,11.3
15.3,5.3,11.9,7.7,15.1,11.0
15.3,5.3,11.9,7.7,15.1,11.0
15.3,5.3,11.9,7.7,15.1,11.0
15.3,5.3,11.9,7.7,15.1,11.0
15.3,5.3,11.9,7.7,15.1,11.0
15.3,5.3,11.9,7.7,15.1,11.0
15.3,5.3,11.9,7.7,15.1,11.0
15.3,5.3,11.9,7.7,15.1,11.0
15.3,5.3,11.9,7.7,15.1,11.0
15.3,5.3,11.9,7.7,15.1,11.0
15.3,5.3,11.9,7.7,15.1,11.0
15.3,5.3,11.9,7.7,15.1,11.0
15.3,5.3,11.9,7.7,15.1,11.0
15.3,5.3,11.9,7.7,15.1,11.0
